Cathegorie,Product ID,Product Name,Product Type,Additional service ,Regions,Where,Video/Photos,duration,Number of peoples,Unit price ,Sales,Views,Quantity,Sales Last Year,Views Last Year,Quantity Last Year,Grow sales
Fighter aircraft,1443477,Vol sensationnel de 30 minutes à bord d’un avion de chasse L-39 Albatros en France,Vol sensationnel,,Offre box France Entière,France entière,,30,,"2 575,20"," €  6 008,80 ",  3 835 ,  2 ," €  4 292,00 ",  801 ,  2 ,"40,00%"
Fighter aircraft,1409989,Avontuurlijke vlucht in een MB-326 gevechtsvliegtuig in Italië | Vol d'aventure dans un avion de chasse MB-326 en Italie,Vol d'aventure,,Offre en dehors France,Italie,,,,"2 509,90"," €  2 928,22 ",  168 ,  1 , €  -   ,  86 ,  -   ,"100,00%"
Helicopter,1467667,Découverte de Chalon-sur-Saîne et ses environs durant 10 min en hélicoptère,Découverte (lieu),,Bourgogne-Franche-Comté,Chalon-sur-Saône,,10,,"79,90"," €  93,22 ",  61 ,  1 , €  -   ,  -   ,  -   ,"100,00%"
Helicopter,1342130,20 minutes de survol du Mont-Blanc en hélicoptère depuis les Arcs 1950,(Durée) de survol,depuis les Arcs 1950,Auvergne-Rhône-Alpes,Mont-Blanc,,20,,"179,90", €  -   ,  350 ,  -   ," €  1 349,25 ",  798 ,  8 ,"-100,00%"
Helicopter,1398305,30 minutes de survol magique de Lyon en hélicoptère,(Durée) de survol,,Auvergne-Rhône-Alpes,Lyon,,30,,"199,90", €  -   ,  -   ,  -   ," €  666,33 ",  211 ,  3 ,"-100,00%"
Helicopter,1396439,Lyon vue du ciel : survol en hélicoptère autour de la ville pour 2,(lieu) vue du ciel,,Auvergne-Rhône-Alpes,Lyon,,,2,"399,90", €  -   ,  -   ,  -   ," €  666,50 ",  73 ,  2 ,"-100,00%"
Helicopter,1413492,Survol en hélicoptère de 25 min du Vercors ou de Crozes-Hermitage,Survol en,,Auvergne-Rhône-Alpes,Vercors ou de Crozes-Hermitage,,25,,"249,90", €  -   ,  100 ,  -   ," €  208,25 ",  152 ,  1 ,"-100,00%"
Helicopter,1382592,Baptême mémorable de 30 minutes en hélicoptère près de Dijon,Baptême mémorable,,Bourgogne-Franche-Comté,Dijon,,30,,"209,90", €  -   ,  79 ,  -   ," €  174,92 ",  120 ,  1 ,"-100,00%"
Helicopter,1412484,Baptême de l’air en hélicoptère en Touraine,Baptême de l’air,,Centre-Val-De-Loire,Touraine,,,,"84,90", €  -   ,  -   ,  -   ," €  990,50 ",  1 518 ,  12 ,"-100,00%"
Helicopter,1412522,Château de Chambord vu du ciel : 1h de vol magique en hélicoptère pour 2,(lieu) vu du ciel,,Centre-Val-De-Loire,Château de Chambord,,60,2,"739,90", €  -   ,  -   ,  -   ," €  616,58 ",  466 ,  1 ,"-100,00%"
